run_id,series,alpha,Q_W_SIGN_GAUGE_mean,Q_W_SIGN_GAUGE_std,Q_W_SIGN_GAUGE_sem
_latest,AGD,0,0.05496861152,0.006851018286,0.00153193426
_latest,AGD,0.1,0.05679035913,0.004624056773,0.001033970528
_latest,AGD,0.2,0.05688600745,0.005657594643,0.001265076621
_latest,AGD,0.3,0.05768536925,0.006122479802,0.001369028103
_latest,AGD,0.4,0.06034384277,0.006943467634,0.001552606563
_latest,AGD,0.5,0.06263786815,0.007947609973,0.001777139616
_latest,AGD,0.6,0.06547480412,0.005614205379,0.001255374487
_latest,AGD,0.7,0.06702060383,0.009067785777,0.00202761854
_latest,AGD,0.8,0.06857723314,0.005170400992,0.001156136809
_latest,AGD,0.9,0.07279499285,0.006690880036,0.001496126259
_latest,AGD,1,0.07468403094,0.007265086581,0.001624522746
_latest,AGD,1.1,0.07718717046,0.005323742445,0.001190425
_latest,AGD,1.2,0.08427033983,0.009345336635,0.002089680799
_latest,AGD,1.3,0.08262556493,0.009779691316,0.002186805458
_latest,AGD,1.4,0.08677699715,0.01062585264,0.002376012881
_latest,AGD,1.5,0.09048064351,0.009648029518,0.002157364985
_latest,AGD,1.6,0.0932202369,0.00958500993,0.002143273377
_latest,AGD,1.7,0.09839292914,0.01127175294,0.002520440579
_latest,AGD,1.8,0.09969144128,0.01038976606,0.002323222319
_latest,AGD,1.9,0.1143907331,0.01111958681,0.0024864152
_latest,AGD,2,0.1166540131,0.01158289838,0.002590014816
_latest,AGD,2.1,0.1211826339,0.01278394631,0.002858577297
_latest,AGD,2.2,0.1223476019,0.01162829745,0.002600166356
_latest,AGD,2.3,0.1185686097,0.01018750906,0.002277996279
_latest,AGD,2.4,0.1193576153,0.01301865997,0.002911060866
_latest,AGD,2.5,0.115370848,0.01386685775,0.003100723656
_latest,AGD,2.6,0.1208182987,0.01246627249,0.002787543271
_latest,AGD,2.7,0.1149674635,0.01302744758,0.002913025837
_latest,AGD,2.8,0.1189346548,0.01311957877,0.002933626997
_latest,AGD,2.9,0.1172807127,0.009340214765,0.002088535514
_latest,AGD,3,0.1185653113,0.01223896347,0.00273671543
_latest,AGD,3.1,0.1210400745,0.0125110665,0.002797559517
_latest,AGD,3.2,0.1167934775,0.01346422555,0.00301069236
_latest,AGD,3.3,0.1218258657,0.01044725004,0.002336076126
_latest,AGD,3.4,0.1189230878,0.0129398582,0.002893440254
_latest,AGD,3.5,0.1191797666,0.01303058409,0.002913727181
_latest,AGD,3.6,0.1141400579,0.01235591753,0.002762867152
_latest,AGD,3.7,0.1171403222,0.013101116,0.002929498596
_latest,AGD,3.8,0.1197969291,0.01139009099,0.002546901773
_latest,AGD,3.9,0.1195330832,0.00952762099,0.00213044082
_latest,AGD,4,0.1192667618,0.01346746925,0.003011417673
_latest,BiGAMP (F = 1),0,0,0,0
_latest,BiGAMP (F = 1),0.1,0,0,0
_latest,BiGAMP (F = 1),0.2,0.001877913077,8.214662354e-05,1.836854344e-05
_latest,BiGAMP (F = 1),0.3,0.009282402485,0.0009349585356,0.0002090630842
_latest,BiGAMP (F = 1),0.4,0.01661888603,0.001648064762,0.0003685184839
_latest,BiGAMP (F = 1),0.5,0.021591374,0.002133929554,0.0004771611542
_latest,BiGAMP (F = 1),0.6,0.0261337094,0.002688597519,0.0006011886817
_latest,BiGAMP (F = 1),0.7,0.03166557252,0.002551720916,0.0005705821428
_latest,BiGAMP (F = 1),0.8,0.03557638917,0.002615137556,0.0005847625346
_latest,BiGAMP (F = 1),0.9,0.03974055741,0.005139047375,0.001149125927
_latest,BiGAMP (F = 1),1,0.04255335107,0.005571695624,0.001245869017
_latest,BiGAMP (F = 1),1.1,0.04726334531,0.005578446959,0.001247378661
_latest,BiGAMP (F = 1),1.2,0.05170609634,0.005750220764,0.001285788451
_latest,BiGAMP (F = 1),1.3,0.05155979507,0.004405140735,0.0009850194135
_latest,BiGAMP (F = 1),1.4,0.05715812985,0.005745276765,0.00128468294
